Title,Conference/Journal,Authors
A MATLAB Expedition Into Image Processing,IEMENTech 2025,"Soumya Basu, Anurag Shaw, Rahul Thakur"
A Brief Review on AI Based Stock Market Prediction Tools,"IEMENTech 2025, Kolkata","Soumya Basu, Anurag Shaw, Rahul Thakur"
A Comprehensive Study of the Correlation Between Blockchain Dynamics and Cybersecurity: Complementing Digital Trust and Security for Cryptocurrency Transactions,"IRTM 2024, NIT Calicut",Snehadri Bhaumik
Outlier Detection in a Timeseries Data,"IRTM 2024, NIT Calicut",Snehadri Bhaumik
Interpretable AI for Alzheimer&#39;s Diagnosis Using Cross Sectional and Longitudinal Data,"IEMENTech 2025, Kolkata","Anohita Mukherjee, Sreeparna Das, Saikat Das, Debayuth Banik"
A Basic Framework for Fetal Monitoring in Detecting Stillbirth Risks Using Heart Rate and Fetal Movements,"IEMENTech 2025, Kolkata","Saikat Das, Sreeparna Das, Anohita Mukherjee, Debayuth Banik"
Automated Crop Disease Detection using Deep Learning: A Scalable Smart Farming Framework,"IEMENTech 2025, Kolkata","Mrinmoy Mondal, Abhigyan Mondal, Arpan Chowdhury, Soumyodip Choudhury, Pratyay Paul"
Optimizing Drug Management: AI-Driven Pharmacy Analytics and Electronic Health Records,"IEMENTech 2025, Kolkata","Chandan Kumar Mahato, Sourav Pandey"
Fetal Health Classification Using Machine Learning on Cardiotocography Data,"IEMENTech 2025, Kolkata","Sudipta Ray, Shubhayu Basak, Suvrajeet Chatterjee"
UAV-Driven Surveillance: Security Enhancement with ML and Edge Detection integrating LIDAR Sensor for Trespassing and Area Mapping,"IEMENTech 2025, Kolkata","Sujay Saha, Susamoy Aich, Nirlov Saha, Debjit Roy, Pratham Padala, Shantanu Ghosh"
Harnessing Machine Learning for Watermarking: A Survey on Robustness and Stealth in Image Protection,"IEMENTech 2025, Kolkata","Kunal Routh, Priyanshu Mazumder, Amar Pal"
A Brief Review on Photocatalytic Materials for Waste Water Treatment,"IEMENTech 2025, Kolkata",Prativa Saha
Optimizing Drug Management: AI-Driven Pharmacy Analytics and Electronic Health Records,"IEMENTech 2025, Kolkata",Chandan Kumar Mahato
