Title,Conference/Journal,Authors
Exploring Electronic Properties and Molecular Reactivity of Aliphatic and Aromatic Hydrocarbons via DFT based Computations,"CALCON 2024, Kolkata",Rishav Dutta
,"EDKCCON 2024, Kolkata",Arijit Mondal
Design of a Voltage Controlled Millimeter-Wave Oscillator for 5G/6G Applications in 180nm CMOS Technology,"IEMENTech 2025, Kolkata",Soumyojit Chatterjee
"An In-Depth Exploration of Different Analog Circuit Parameters Utilizing Three Amplifier Topologies: A Robust Examination of Gain, Power, Noise, and Bandwidth Characteristics","IEMENTech 2025, Kolkata","Snehadri Bhaumik, Subhradeep Hazra"
A First Principle Based Comparative Study Between Pristine and Au-modified Graphene Nanosheet towards Acetaldehyde Sensing Performance,"VLSID 2025, Bangalore",Soubarno Chatterjee
,"EDKCON 2024, Kolkata",Aheli Majumdar
,"IEMPHYS 2024, Kolkata",Aman Kumar Jha
,"IRTM 2024, NIT Calicut","Ankit Biswas, Siddhartha Bhattacharjee"
,"CALCON 2024, Kolkata",Arighna Bhattacharjee
,"EDKCON 2024, Kolkata",Snehadri Bhaumik
,"EDKCON 2024, Kolkata",Subhradeep Hazra
,"CTMSE 2025, Kolkata",Saurabhi Biawas
,"CALCON 2024, Kolkata",Arijit Mondal
,"CALCON 2024, Kolkata",Souvik Bhanja
,"VDAT 2024, Vellore","Souvik Bhanja, Soubarno Chatterjee"
,"IEMPHYS 2024, Kolkata",Yash Shaw
